publication_date,meeting_date,committee,sponsor_raw,drug_raw,mapped_ticker,mapped_name,eligible,exclusion_reason,document_number,html_url,title
2023-08-16,2023-10-04,Oncologic Drugs Advisory Committee,,,,,True,,2023-17510,https://www.federalregister.gov/documents/2023/08/16/2023-17510/oncologic-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for,Oncologic Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-08-21,2023-08-21,,,,,,False,short_lead,2023-17881,https://www.federalregister.gov/documents/2023/08/21/2023-17881/list-of-bulk-drug-substances-for-which-there-is-a-clinical-need-under-section-503b-of-the-federal,"List of Bulk Drug Substances for Which There is a Clinical Need Under Section 503B of the Federal Food, Drug, and Cosmetic Act"
2023-08-22,2023-10-05,Oncologic Drugs Advisory Committee,,,,,True,,2023-18024,https://www.federalregister.gov/documents/2023/08/22/2023-18024/oncologic-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for,Oncologic Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-08-24,2023-09-21,Endocrinologic and Metabolic Drugs Advisory Committee,Intarcia,ITCA,,,True,,2023-18241,https://www.federalregister.gov/documents/2023/08/24/2023-18241/endocrinologic-and-metabolic-drugs-advisory-committee-notice-of-alternative-form-of-hearing,Endocrinologic and Metabolic Drugs Advisory Committee; Notice of Alternative Form of Hearing
2023-08-24,2023-10-05,Vaccines and Related Biological Products Advisory Committee,,,,,True,,2023-18243,https://www.federalregister.gov/documents/2023/08/24/2023-18243/vaccines-and-related-biological-products-advisory-committee-notice-of-meeting-establishment-of-a,Vaccines and Related Biological Products Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-08-24,2023-09-21,Endocrinologic and Metabolic Drugs Advisory Committee,,,,,True,,2023-18250,https://www.federalregister.gov/documents/2023/08/24/2023-18250/endocrinologic-and-metabolic-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public,Endocrinologic and Metabolic Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-08-25,2023-09-25,,,,,,True,,2023-18320,https://www.federalregister.gov/documents/2023/08/25/2023-18320/notice-of-opportunity-for-public-comment-on-proposal-to-withdraw-approval-of-new-drug-application,"Notice of Opportunity for Public Comment on Proposal To Withdraw Approval of New Drug Application for PEPAXTO, Equivalent to 20 Milligrams Base per Vial"
2023-09-07,2023-10-31,"Cellular, Tissue, and Gene Therapies Advisory Committee",,,,,True,,2023-19284,https://www.federalregister.gov/documents/2023/09/07/2023-19284/cellular-tissue-and-gene-therapies-advisory-committee-notice-of-meeting-establishment-of-a-public,"Cellular, Tissue, and Gene Therapies Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments-Sickle Cell Disease"
2023-09-08,2023-11-17,Pulmonary-Allergy Drugs Advisory Committee,,,,,True,,2023-19407,https://www.federalregister.gov/documents/2023/09/08/2023-19407/pulmonary-allergy-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket,Pulmonary-Allergy Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2023-09-11,2023-10-11,Vaccines and Related Biological Products Advisory Committee,,,,,True,,2023-19496,https://www.federalregister.gov/documents/2023/09/11/2023-19496/request-for-nominations-from-industry-organizations-interested-in-participating-in-the-selection,Request for Nominations From Industry Organizations Interested in Participating in the Selection Process for Nonvoting Industry Representatives and Request for Nominations for Nonvoting Industry Repre
