ticker,ticker_source,target_cik,target_name,sic,sic_biotech,institutions,sc13d_new,sc13g_new,form4_all,form_amendment_count,form_other_count,total_events,first_event_date,accession_first_event,listing_status,form25_accession,form25_date
SRZN,submissions.tickers,0001824893,"Surrozen, Inc./DE",2836,True,Baker Bros;RA Capital,0,2,0,1,0,2,2022-02-14,0001104659-22-022840,DELISTED,0001354457-26-000770,2026-08-07
CELC,submissions.tickers,0001603454,Celcuity Inc.,8071,False,Baker Bros;Perceptive;RA Capital,0,3,0,4,0,3,2022-05-25,0001104659-22-064656,ACTIVE,,
APGE,submissions.tickers,0001974640,"Apogee Therapeutics, Inc.",2836,True,Deep Track;RA Capital,0,2,0,3,0,2,2023-07-24,0001172661-23-002601,ACTIVE,,
XLO,submissions.tickers,0001840233,"Xilio Therapeutics, Inc.",2834,True,RA Capital,0,1,0,2,0,1,2021-11-05,0001104659-21-135061,ACTIVE,,
ELDN,submissions.tickers,0001404281,"Eledon Pharmaceuticals, Inc.",2834,True,RA Capital,0,1,0,0,0,1,2024-11-05,0001104659-24-114322,ACTIVE,,
ALEC,submissions.tickers,0001653087,"Alector, Inc.",2836,True,RA Capital,0,1,0,0,0,1,2024-12-06,0001104659-24-126367,ACTIVE,,
MNPR,submissions.tickers,0001645469,Monopar Therapeutics,2834,True,RA Capital,0,1,0,0,0,1,2024-10-31,0001104659-24-113067,ACTIVE,,
BIOA,submissions.tickers,0001709941,"BioAge Labs, Inc.",2834,True,RA Capital,0,1,0,0,0,1,2024-10-07,0001104659-24-106678,ACTIVE,,
ENSC,submissions.tickers,0001716947,"Ensysce Biosciences, Inc.",2834,True,Perceptive;RA Capital,0,2,0,0,0,2,2024-10-29,0001193125-24-246648,ACTIVE,,
DRUG,submissions.tickers,0001827401,BRIGHT MINDS BIOSCIENCES INC.,2834,True,Perceptive;RA Capital,0,2,0,0,0,2,2024-10-16,0001193125-24-238029,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001786205,"Arcellx, Inc.",2836,True,Perceptive;RA Capital,0,2,0,2,0,2,2023-02-14,0001193125-23-038717,DELISTED,0001354457-26-000381,2026-04-28
,미복구 · no 10-K/10-Q found,0001454789,"Astria Therapeutics, Inc.",2834,True,Deep Track;Perceptive;RA Capital,0,2,0,9,0,2,2022-12-22,0001172661-22-002615,DELISTED,0001354457-26-000075,2026-01-23
KURA,submissions.tickers,0001422143,"Kura Oncology, Inc.",2834,True,Deep Track;RA Capital,0,2,0,1,0,2,2022-02-04,0001172661-22-000237,ACTIVE,,
CBIO,submissions.tickers,0001253689,"CRESCENT BIOPHARMA, INC.",2834,True,RA Capital,0,1,0,0,0,1,2024-11-06,0001104659-24-114867,ACTIVE,,
BCYC,submissions.tickers,0001761612,BICYCLE THERAPEUTICS PLC,2834,True,Baker Bros;Deep Track;RA Capital,1,3,0,5,0,4,2022-01-27,0001172661-22-000197,ACTIVE,,
CRBP,submissions.tickers,0001595097,"Corbus Pharmaceuticals Holdings, Inc.",2834,True,OrbiMed;RA Capital,0,2,0,0,0,2,2024-02-12,0001104659-24-014646,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001722271,"Akouos, Inc.",2834,True,RA Capital,0,0,0,2,0,0,,,DELISTED,0001354457-22-000674,2022-12-01
,미복구 · no 10-K/10-Q found,0001604950,scPharmaceuticals Inc.,2834,True,OrbiMed;RA Capital,0,0,0,5,0,0,,,DELISTED,0001354457-25-000996,2025-10-07
